	Protein.Accession	ARO.Accession	Model.Name	ARO.Name	AMR.Gene.Family	Drug.Class	Resistance.Mechanism
181	AAG07763.1	ARO:3003031	mexW	MexW	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;tetracycline antibiotic;acridine dye;phenicol antibiotic	antibiotic efflux
182	AAG15269.1	ARO:3002528	AAC(3)-Ia	AAC(3)-Ia	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
183	AAG16656.1	ARO:3002705	floR	floR	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
184	AAG29761.2	ARO:3002259	IND-3	IND-3	IND beta-lactamase	carbapenem	antibiotic inactivation
185	AAG29765.2	ARO:3002260	IND-4	IND-4	IND beta-lactamase	carbapenem	antibiotic inactivation
186	AAG29813.1	ARO:3002380	SME-2	SME-2	SME beta-lactamase	carbapenem	antibiotic inactivation
187	AAG33665.1	ARO:3001431	OXA-37	OXA-37	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
188	AAG35608.1	ARO:3001421	OXA-26	OXA-26	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
189	AAK01167.1	ARO:3002819	msrC	msrC	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;streptogramin antibiotic	antibiotic efflux
190	AAK07612.2	ARO:3000604	Erm(35)	Erm(35)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
191	AAK11270.1	ARO:3003385	Enterobacter aerogenes omp36 with mutation	Enterobacter aerogenes Omp36	General Bacterial Porin with reduced permeability to beta-lactams	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic
192	AAK14293.1	ARO:3002378	VEB-9	VEB-9	VEB beta-lactamase	monobactam;cephalosporin	antibiotic inactivation
193	AAK14293.1	ARO:3002378	VEB-9	VEB-9	VEB beta-lactamase	monobactam;cephalosporin	antibiotic inactivation
194	AAK26252.2	ARO:3002583	AAC(6)-29a	AAC(6)-29a	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
195	AAK37619.1	ARO:3000481	tet(35)	tet(35)	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
196	AAK38324.1	ARO:3000840	JOHN-1 beta-lactamase	JOHN-1	JOHN beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
197	AAK44936.1	ARO:3003395	Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin	Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin	antibiotic resistant rpsL	aminoglycoside antibiotic	antibiotic target alteration
198	AAK46002.1	ARO:3003445	Mycobacterium tuberculosis tlyA mutations conferring resistance to aminoglycosides	Mycobacterium tuberculosis tlyA mutations conferring resistance to aminoglycosides	Antibiotic resistant tlyA	aminoglycoside antibiotic	antibiotic target alteration
199	AAK48336.1	ARO:3003458	Mycobacterium tuberculosis ethA with mutation conferring resistance to ethionamide	Mycobacterium tuberculosis ethA with mutation conferring resistance to ethionamide	ethionamide resistant ethA	isoniazid;ethionamide	antibiotic target alteration
200	AAK60186.1	ARO:3003014	dfrA16	dfrA16	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
201	AAK63040.1	ARO:3002635	APH(2)-IIa	APH(2)-IIa	APH(2)	aminoglycoside antibiotic	antibiotic inactivation
202	AAK63041.1	ARO:3002559	AAC(6)-Ip	AAC(6)-Ip	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
203	AAK63223.1	ARO:3003561	Sed1 beta-lactamase	Sed-1	Sed beta-lactamase	cephalosporin;penam	antibiotic inactivation
204	AAK74984.1	ARO:3003311	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	Streptococcus pneumoniae parC conferring resistance to fluoroquinolone	fluoroquinolone resistant parC;fluoroquinolone self resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
205	AAK84316.1	ARO:3002843	vatD	vatD	streptogramin vat acetyltransferase	streptogramin antibiotic	antibiotic inactivation
206	AAL08441.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
207	AAL12234.1	ARO:3003552	fusB	fusB	fusidic acid inactivation enzyme	fusidic acid	antibiotic inactivation
208	AAL14439.1	ARO:3000774	adeA	adeA	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux
209	AAL14440.1	ARO:3000775	adeB	adeB	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux
210	AAL27442.1	ARO:3002907	vanE	vanE	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
211	AAL27443.1	ARO:3002967	vanXYE	vanXYE	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration
212	AAL27444.1	ARO:3002971	vanTE	vanTE	glycopeptide resistance gene cluster;vanT	glycopeptide antibiotic	antibiotic target alteration
213	AAL27445.1	ARO:3002924	vanRE	vanRE	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
214	AAL27446.1	ARO:3002935	vanSE	vanSE	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
215	AAL51021.2	ARO:3002598	ANT(3)-Ii-AAC(6)-IId fusion protein	ANT(3)-Ii-AAC(6)-IId fusion protein	AAC(6);ANT(3)	aminoglycoside antibiotic	antibiotic inactivation
216	AAL59753.1	ARO:3000412	sul2	sul2	sulfonamide resistant sul	sulfonamide antibiotic;sulfone antibiotic	antibiotic target replacement
217	AAL68645.1	ARO:3002681	catB9	catB9	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
218	AAL68827.1	ARO:3000605	Erm(36)	Erm(36)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
219	AAL78275.1	ARO:3002391	OXY-1-3	OXY-1-3	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
220	AAL82403.1	ARO:3003297	Bartonella bacilliformis gyrA conferring resistance to fluoroquinolones	Bartonella bacilliformis gyrA conferring resistance to fluoroquinolones	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
221	AAL82588.1	ARO:3002600	AAC(3)-Ib/AAC(6)-Ib	AAC(3)-Ib/AAC(6)-Ib	AAC(3);AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
222	AAL97684.1	ARO:3003387	Streptococcus pyogenes folP with mutation conferring resistance to sulfonamides	Streptococcus pyogenes folP with mutation conferring resistance to sulfonamides	sulfonamide resistant dihydropteroate synthase folP	sulfonamide antibiotic;sulfone antibiotic	antibiotic target alteration
223	AAM09849.1	ARO:3000005	vanD	vanD	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
224	AAM09850.1	ARO:3002944	vanHD	vanHD	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
225	AAM09851.1	ARO:3002923	vanRD	vanRD	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
226	AAM09852.1	ARO:3003070	vanXD	vanXD	vanX;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
227	AAM09853.1	ARO:3002957	vanYD	vanYD	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
228	AAM15533.1	ARO:3003688	PvrR	PvrR	phenotypic variant regulator	aminoglycoside antibiotic	resistance by absence
229	AAM76670.1	ARO:3002625	ANT(4)-IIb	ANT(4)-IIb	ANT(4)	aminoglycoside antibiotic	antibiotic inactivation
230	AAM92464.1	ARO:3002594	AAC(6)-IIa	AAC(6)-IIa	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
231	AAN28721.1	ARO:3002871	tet37	tet37	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
232	AAN28945	ARO:3003785	Chlamydia trachomatis intrinsic murA conferring resistance to fosfomycin	Chlamydia trachomatis intrinsic murA conferring resistance to fosfomycin	murA transferase	fosfomycin	antibiotic target alteration
233	AAN32638.1	ARO:3000842	EBR-1 beta-lactamase	EBR-1 beta-lactamase	EBR beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
234	AAN41427.1	ARO:3001775	OXA-119	OXA-119	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
235	AAN41433.1	ARO:3002864	dfrB1	dfrB1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
236	AAN52134.1	ARO:3002275	VIM-5	VIM-5	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
237	AAN62561.1	ARO:3003970	D-Ala-D-Ala ligase	D-Ala-D-Ala ligase	van ligase	glycopeptide antibiotic	antibiotic target alteration
238	AAN63648.1	ARO:3000844	TUS-1 beta-lactamase	TUS-1	TUS beta-lactamase	carbapenem;cephalosporin;cephamycin	antibiotic inactivation
239	AAN82549.1	ARO:3003369	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	elfamycin resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
240	AAN86837.2	ARO:3000601	Erm(38)	Erm(38)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
241	AAO04716.1	ARO:3002865	dfrC	dfrC	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
242	AAO16462.1	ARO:3000167	tet(C)	tet(C)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
243	AAO47226.2	ARO:3003318	Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin	Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin	aminocoumarin resistant parY;aminocoumarin self resistant parY	aminocoumarin antibiotic	antibiotic target alteration
244	AAO83986.1	ARO:3002623	ANT(4)-Ia	ANT(4)-Ia	ANT(4)	aminoglycoside antibiotic	antibiotic inactivation
245	AAP22374.1	ARO:3002248	CARB-9	CARB-9	CARB beta-lactamase	penam	antibiotic inactivation
246	AAP43642.1	ARO:3002588	AAC(6)-I30	AAC(6)-I30	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
247	AAP69916.1	ARO:3001780	OXA-85	OXA-85	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
248	AAP74657.1	ARO:3000600	Erm(34)	Erm(34)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
249	AAP93922.1	ARO:3000569	tet(41)	tet(41)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
250	AAQ08905.1	ARO:3001808	OXA-60	OXA-60	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
251	AAQ63644.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
252	AAQ76277.1	ARO:3001796	OXA-50	OXA-50	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
253	AAR03105.1	ARO:3001813	OXA-55	OXA-55	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
254	AAR20595.1	ARO:3000090	BLA1	Bla1	class A Bacillus anthracis Bla beta-lactamase	penam	antibiotic inactivation
255	AAR21614.1	ARO:3002529	AAC(3)-Id	AAC(3)-Id	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
256	AAR32134.1	ARO:3001792	OXA-62	OXA-62	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
257	AAR84672.1	ARO:3002925	vanRF	vanRF	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
258	AAR84673.1	ARO:3002936	vanSF	vanSF	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
259	AAR92235.1	ARO:3000602	Erm(39)	Erm(39)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
260	AAR96051.1	ARO:3002894	otrC	otrC	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
261	AAS13767.1	ARO:3003839	Mrx	Mrx	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
262	AAS68233.1	ARO:3000391	norA	norA	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;acridine dye	antibiotic efflux
263	AAS79458.1	ARO:3001302	chrB	chrB	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic;lincosamide antibiotic	antibiotic target alteration
264	AAT01092.1	ARO:3001773	OXA-61	OXA-61	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
265	AAT46077.1	ARO:3000300	lsaA	lsaA	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic;streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux
266	AAT90846.1	ARO:3003556	SLB-1	SLB-1	SHW beta-lactamase	cephalosporin;penam	antibiotic inactivation
267	AAT90847.1	ARO:3003557	SFB-1	SFB-1	SHW beta-lactamase	cephalosporin;penam	antibiotic inactivation
268	AAU10334.1	ARO:3002628	aad(6)	aad(6)	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
269	AAU95768.1	ARO:3000026	mepA	mepA	multidrug and toxic compound extrusion (MATE) transporter	glycylcycline;tetracycline antibiotic	antibiotic efflux
270	AAV80464.1	ARO:3000565	tet(38)	tet(38)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
271	AAV85981.1	ARO:3000533	macA	macA	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
272	AAV85982.1	ARO:3000535	macB	macB	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
273	AAV97957.1	ARO:3001933	CTX-M-72	CTX-M-72	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
274	AAW66497.1	ARO:3000566	tet(39)	tet(39)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
275	AAX14802.1	ARO:3000781	adeJ	adeJ	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;carbapenem;cephalosporin;tetracycline antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;penem	antibiotic efflux
276	AAX14803.1	ARO:3000782	adeK	adeK	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;carbapenem;cephalosporin;tetracycline antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;penem	antibiotic efflux
277	AAX38178.1	ARO:3002634	APH(2)-Ie	APH(2)-Ie	APH(2)	aminoglycoside antibiotic	antibiotic inactivation
278	AAX55643.1	ARO:3003558	y56 beta-lactamase	y56 beta-lactamase	BlaA beta-lactamase	cephalosporin;penam	antibiotic inactivation
279	AAY32951.1	ARO:3002837	lnuC	lnuC	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
280	AAZ42322.1	ARO:3003836	qacH	qacH	small multidrug resistance (SMR) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
281	ABA28305.2	ARO:3000462	mgtA	mgtA	mgt macrolide glycotransferase	macrolide antibiotic	antibiotic inactivation
282	ABA42118.2	ARO:3000866	oleI	oleI	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation
283	ABA42119.2	ARO:3000865	oleD	oleD	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation
284	ABA71727.1	ARO:3002926	vanRG	vanRG	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
285	ABA71728.1	ARO:3002937	vanSG	vanSG	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
286	ABA71729.1	ARO:3002959	vanYG1	vanYG1	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
287	ABA71730.1	ARO:3002965	vanWG	vanWG	vanW;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
288	ABA71731.1	ARO:3002909	vanG	vanG	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
289	ABA71732.1	ARO:3003069	vanXYG	vanXYG	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration
290	ABA71733.1	ARO:3002972	vanTG	vanTG	glycopeptide resistance gene cluster;vanT	glycopeptide antibiotic	antibiotic target alteration
291	ABB43029.1	ARO:3002539	AAC(3)-IV	AAC(3)-IV	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
292	ABB71176.1	ARO:3003020	dfrA25	dfrA25	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
293	ABC68330.1	ARO:3002640	APH(3)-Ic	APH(3)-Ic	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
294	ABC88434.1	ARO:3002213	IMP-22	IMP-22	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
295	ABD73290.1	ARO:3001920	CTX-M-59	CTX-M-59	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
296	ABF33001.1	ARO:3003969	lmrP	lmrP	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic efflux
297	ABF50909.1	ARO:3002521	OCH-8	OCH-8	OCH beta-lactamase	monobactam;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
298	ABF66011.1	ARO:3002881	lmrC	lmrC	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic	antibiotic efflux
299	ABF66027.1	ARO:3002882	lmrD	lmrD	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic	antibiotic efflux
300	ABG49324.1	ARO:3002609	aadA9	aadA9	ANT(3)	aminoglycoside antibiotic	antibiotic inactivation
301	ABG77965.1	ARO:3004042	Enterobacter cloacae acrA	Enterobacter cloacae acrA	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
302	ABG91835.1	ARO:3002860	dfrA17	dfrA17	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
303	ABI50486.1	ARO:3002707	QnrA1	QnrA1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
304	ABK33456.1	ARO:3002639	APH(3)-Ib	APH(3)-Ib	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
305	ABR10839.1	ARO:3002586	AAC(6)-32	AAC(6)-32	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
306	ABR14060.1	ARO:3002838	lnuD	lnuD	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
307	ABR75897.1	ARO:3003373	Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance	Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic target alteration;antibiotic efflux
308	ABR76005.1	ARO:3003380	Klebsiella pneumoniae ramR mutants	Klebsiella pneumoniae ramR mutants	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic target alteration;antibiotic efflux
309	ABS29619.1	ARO:3000841	CGB-1 beta-lactamase	CGB-1	CGB beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
310	ABS43151.1	ARO:3000784	cmeB	cmeB	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;fusidic acid	antibiotic efflux
311	ABS43901.1	ARO:3000783	cmeA	cmeA	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;fusidic acid	antibiotic efflux
312	ABU39978.1	ARO:3000160	blaI	blaI	blaZ beta-lactamase	penam	antibiotic inactivation
313	ABU39979.1	ARO:3000217	blaR1	blaR1	blaZ beta-lactamase	penam	antibiotic inactivation
314	ABV18113.1	ARO:3001329	mdtG	mdtG	major facilitator superfamily (MFS) antibiotic efflux pump	fosfomycin	antibiotic efflux
315	ABV26707.1	ARO:3002850	arr-5	arr-5	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
316	ABW06859.1	ARO:3000603	Erm(41)	Erm(41)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
317	ABW70410.1	ARO:3001644	OXA-113	OXA-113	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
318	ABX30738.1	ARO:3000621	PC1 beta-lactamase (blaZ)	PC1 beta-lactamase (blaZ)	blaZ beta-lactamase	penam	antibiotic inactivation
319	ABX54687.1	ARO:3002910	vanL	vanL	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
320	ABX54688.1	ARO:3002968	vanXYL	vanXYL	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration
321	ABX54689.1	ARO:3002973	vanTmL	vanTmL	glycopeptide resistance gene cluster;vanT	glycopeptide antibiotic	antibiotic target alteration
322	ABX54690.1	ARO:3002974	vanTrL	vanTrL	glycopeptide resistance gene cluster;vanT	glycopeptide antibiotic	antibiotic target alteration
323	ABX54691.1	ARO:3002927	vanRL	vanRL	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
324	ABX54692.1	ARO:3002938	vanSL	vanSL	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
325	ABY64751.1	ARO:3002667	rmtD	rmtD	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
326	ACA23185.1	ARO:3000194	tetW	tetW	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
327	ACC85616.1	ARO:3002804	FosA2	FosA2	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
328	ACD35503.1	ARO:3000572	tet(42)	tet(42)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
329	ACE62798.1	ARO:3002317	KPC-7	KPC-7	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
330	ACF17980.1	ARO:3002616	aadA16	aadA16	ANT(3)	aminoglycoside antibiotic	antibiotic inactivation
331	ACF30254.1	ARO:3000817	mtrR	mtrR	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;penam;antibacterial free fatty acids	antibiotic efflux
332	ACG70184.1	ARO:3002788	QnrD1	QnrD1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
333	ACH50230.1	ARO:3003379	Salmonella enterica ramR mutants	Salmonella enterica ramR mutants	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic target alteration;antibiotic efflux
334	ACH58980.1	ARO:3002482	LRA-1	LRA-1	class A LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation
335	ACH58985.1	ARO:3002485	LRA-2	LRA-2	subclass B3 LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation
336	ACH58987.1	ARO:3002510	LRA-3	LRA-3	subclass B3 LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation
337	ACH58988.1	ARO:3002487	LRA-8	LRA-8	subclass B3 LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation
338	ACH58990.1	ARO:3002511	LRA-12	LRA-12	subclass B3 LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation
339	ACH58991.1	ARO:3002484	LRA-13	LRA-13	class C LRA beta-lactamase;class D LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation
340	ACH58994.1	ARO:3002512	LRA-17	LRA-17	subclass B3 LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation
341	ACH58997.1	ARO:3002492	LRA-18	LRA-18	class C LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation
342	ACH58998.1	ARO:3002486	LRA-7	LRA-7	subclass B3 LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation
343	ACH58999.1	ARO:3002489	LRA-10	LRA-10	class C LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation
344	ACH59002.1	ARO:3002483	LRA-5	LRA-5	class A LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation
345	ACH59005.1	ARO:3002513	LRA-19	LRA-19	subclass B3 LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation
346	ACI28281.1	ARO:3001779	OXA-146	OXA-146	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
347	ACI28880.1	ARO:3002575	AAC(6)-Iai	AAC(6)-Iai	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
348	ACI32877.1	ARO:3002859	dfrA14	dfrA14	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
349	ACJ59254.1	ARO:3000768	abeS	abeS	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic;aminocoumarin antibiotic	antibiotic efflux
350	ACJ63260.1	ARO:3000413	sul3	sul3	sulfonamide resistant sul	sulfonamide antibiotic;sulfone antibiotic	antibiotic target replacement
351	ACJ63262.1	ARO:3003107	mefB	mef(B)	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
352	ACK75961.1	ARO:3002787	QnrC	QnrC	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
353	ACL82957.1	ARO:3002928	vanRM	vanRM	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
354	ACL82958.1	ARO:3002939	vanSM	vanSM	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
355	ACL82959.1	ARO:3002961	vanYM	vanYM	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
356	ACL82960.1	ARO:3002947	vanHM	vanHM	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
357	ACL82961.1	ARO:3002911	vanM	vanM	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
358	ACL82962.1	ARO:3002953	vanXM	vanXM	vanX;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
359	ACM47284	ARO:3002934	vanSD	vanSD	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
